Semester,Date,Day,Time,Department,Subject,Subject Code,
5th,19-03-2024,বুধবার,12:00 PM - 1:00 PM,ইলেকট্রিক্যাল টেকনোলজি,ইলেকট্রিক্যাল অ্যান্ড ইলেকট্রনিক মেজারমেন্ট-১,26752,
5th,19-03-2024,বুধবার,12:00 PM - 1:00 PM,মেকানিক্যাল টেকনোলজি,আডভান্সড ওয়েল্ডিং-১,27053,
5th,19-03-2024,বুধবার,12:00 PM - 1:00 PM,পাওয়ার টেকনোলজি,আডভান্সড ওয়েল্ডিং-১,27053,
5th,19-03-2024,বুধবার,12:00 PM - 1:00 PM,ইলেকট্রনিক্স টেকনোলজি,ইলেকট্রিক্যাল অ্যান্ড ইলেকট্রনিক মেজারমেন্ট-১,26752,
5th,19-03-2024,বুধবার,12:00 PM - 1:00 PM,কম্পিউটার সাইন্স এন্ড টেকনোলজি,কম্পিউটার আর্কিটেকচার অ্যান্ড মাইক্রো প্রসেসর,28553,
5th,19-03-2024,বুধবার,12:00 PM - 1:00 PM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,ইলেকট্রিক্যাল অ্যান্ড ইলেকট্রনিক মেজারমেন্ট-২,26763,
5th,20-03-2024,বৃহস্পতিবার,12:00 PM - 1:00 PM,সিভিল টেকনোলজি,ওয়াটার সাপ্লাই ইঞ্জিনিয়ারিং,26455,
5th,20-03-2024,বৃহস্পতিবার,12:00 PM - 1:00 PM,ইলেকট্রিক্যাল টেকনোলজি,মাইক্রো প্রসেসর অ্যান্ড মাইক্রো কন্ট্রোলার,26853,
5th,20-03-2024,বৃহস্পতিবার,12:00 PM - 1:00 PM,মেকানিক্যাল টেকনোলজি,ম্যানুফ্যাকচারিং প্রসেস,27055,
5th,20-03-2024,বৃহস্পতিবার,12:00 PM - 1:00 PM,পাওয়ার টেকনোলজি,পাওয়ার প্লান্ট ইঞ্জিনিয়ারিং,27152,
5th,20-03-2024,বৃহস্পতিবার,12:00 PM - 1:00 PM,ইলেকট্রনিক্স টেকনোলজি,বায়ো মেডিক্যাল ইন্সট্রুমেন্টস,28654,
5th,20-03-2024,বৃহস্পতিবার,12:00 PM - 1:00 PM,কম্পিউটার সাইন্স এন্ড টেকনোলজি,অপারেটিং সিস্টেম,28555,
5th,20-03-2024,বৃহস্পতিবার,12:00 PM - 1:00 PM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,ফাইবার অপটিক্স অ্যান্ড লেসার ইন মেডিক্যাল ফিল্ড,28652,
5th,22-03-2024,শনিবার,12:00 PM - 1:00 PM,সিভিল টেকনোলজি,থিওরি অব স্ট্রাকচার,26454,
5th,22-03-2024,শনিবার,12:00 PM - 1:00 PM,ইলেকট্রিক্যাল টেকনোলজি,টেস্টিং অ্যান্ড মেইন্টেন্যান্স অব ইলেকট্রিক্যাল ইকুইপমেন্ট,26753,
5th,22-03-2024,শনিবার,12:00 PM - 1:00 PM,মেকানিক্যাল টেকনোলজি,ফাউন্ড্রি অ্যান্ড প্যাটার্ন মেকিং,27054,
5th,22-03-2024,শনিবার,12:00 PM - 1:00 PM,পাওয়ার টেকনোলজি,অটোমোটিভ ইলেক্ট্রিসিটি, ইলেকট্রনিক্স অ্যান্ড অটোমেশন,27151
5th,22-03-2024,শনিবার,12:00 PM - 1:00 PM,ইলেকট্রনিক্স টেকনোলজি,টেলিভিশন ইঞ্জিনিয়ারিং,26851,
5th,22-03-2024,শনিবার,12:00 PM - 1:00 PM,কম্পিউটার সাইন্স এন্ড টেকনোলজি,ডাটা কমিউনিকেশন,28554,
5th,22-03-2024,শনিবার,12:00 PM - 1:00 PM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,রেডিওলজি অ্যান্ড ইমেজিং,28651,
5th,23-03-2024,রবিবার,12:00 PM - 1:00 PM,সিভিল টেকনোলজি,ফাউন্ডেশন ইঞ্জিনিয়ারিং,26451,
5th,23-03-2024,রবিবার,12:00 PM - 1:00 PM,মেকানিক্যাল টেকনোলজি,প্রোগ্রামিং ইন সি,28567,
5th,23-03-2024,রবিবার,12:00 PM - 1:00 PM,পাওয়ার টেকনোলজি,বিজনেস কমিউনিকেশন,25831,
5th,23-03-2024,রবিবার,12:00 PM - 1:00 PM,ইলেকট্রনিক্স টেকনোলজি,প্রোগ্রামিং ইন সি,28567,
5th,23-03-2024,রবিবার,12:00 PM - 1:00 PM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,প্রোগ্রামিং ইন সি,28567,
5th,24-03-2024,সোমবার,12:00 PM - 1:00 PM,ইলেকট্রনিক্স টেকনোলজি,ইলেকট্রনিক এপ্লায়েন্স,26852,
5th,24-03-2024,সোমবার,12:00 PM - 1:00 PM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,ফিজিওথেরাপি অ্যান্ড রিহ্যাবিলিটেশন ডিভাইসেস,28653,
3rd,16-03-2024,রবিবার,10:30 AM - 11:30 AM,সিভিল টেকনোলজি,ম্যাথমেটিক্স-৩,25931,
3rd,16-03-2024,রবিবার,10:30 AM - 11:30 AM,ইলেকট্রিক্যাল টেকনোলজি,ম্যাথমেটিক্স-৩,25931,
3rd,16-03-2024,রবিবার,10:30 AM - 11:30 AM,মেকানিক্যাল টেকনোলজি,ম্যাথমেটিক্স-৩,25931,
3rd,16-03-2024,রবিবার,10:30 AM - 11:30 AM,পাওয়ার টেকনোলজি,ম্যাথমেটিক্স-৩,25931,
3rd,16-03-2024,রবিবার,10:30 AM - 11:30 AM,ইলেকট্রনিক্স টেকনোলজি,ম্যাথমেটিক্স-৩,25931,
3rd,16-03-2024,রবিবার,10:30 AM - 11:30 AM,কম্পিউটারসাইন্স এন্ড টেকনোলজি,ম্যাথমেটিক্স-৩,25931,
3rd,16-03-2024,রবিবার,10:30 AM - 11:30 AM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,ম্যাথমেটিক্স-৩,25931,
3rd,17-03-2024,সোমবার,10:30 AM - 11:30 AM,সিভিল টেকনোলজি,বিজনেস কমিউনিকেশন,25831,
3rd,17-03-2024,সোমবার,10:30 AM - 11:30 AM,ইলেকট্রিক্যাল টেকনোলজি,ইলেকট্রিক্যাল সার্কিট-২,26731,
3rd,17-03-2024,সোমবার,10:30 AM - 11:30 AM,মেকানিক্যাল টেকনোলজি,বিজনেস কমিউনিকেশন,25831,
3rd,17-03-2024,সোমবার,10:30 AM - 11:30 AM,পাওয়ার টেকনোলজি,বেসিক ইলেকট্রনিক্স,26811,
3rd,17-03-2024,সোমবার,10:30 AM - 11:30 AM,ইলেকট্রনিক্স টেকনোলজি,ইলেকট্রিক্যাল সার্কিট-২,26731,
3rd,17-03-2024,সোমবার,10:30 AM - 11:30 AM,কম্পিউটারসাইন্স এন্ড টেকনোলজি,আই টি সাপোর্ট সার্ভিসেস,28533,
3rd,17-03-2024,সোমবার,10:30 AM - 11:30 AM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,ইলেকট্রিক্যাল সার্কিট-২,26731,
3rd,18-03-2024,মঙ্গলবার,10:30 AM - 11:30 AM,সিভিল টেকনোলজি,সার্ভেয়িং -১,26432,
3rd,18-03-2024,মঙ্গলবার,10:30 AM - 11:30 AM,ইলেকট্রিক্যাল টেকনোলজি,ইলেকট্রিক্যাল অ্যাপ্লায়েন্স,26732,
3rd,18-03-2024,মঙ্গলবার,10:30 AM - 11:30 AM,মেকানিক্যাল টেকনোলজি,আরএসি সাইকেল এন্ড কম্পোনেন্টস,27231,
3rd,18-03-2024,মঙ্গলবার,10:30 AM - 11:30 AM,পাওয়ার টেকনোলজি,আরএসি সাইকেল এন্ড কম্পোনেন্টস,27231,
3rd,18-03-2024,মঙ্গলবার,10:30 AM - 11:30 AM,ইলেকট্রনিক্স টেকনোলজি,পাওয়ার ইলেকট্রনিক্স,26832,
