Room No,Department,Roll
308,1/ET,24681120
311,1/ENT,239554
311,1/ET,24672079
311,1/ENT,24682019
311,1/ET,24672096
311,1/ENT,24672065
311,1/ET,24682004
311,1/ENT,24672069
311,1/ENT,24682006
311,1/ET,24672076
311,1/ET,24682023
311,1/ENT,24672072
311,1/ET,24682007
311,1/ENT,24672073
311,1/ET,24682008
PHYSICS,1/ET,24672122
PHYSICS,1/ENT,24682082
PHYSICS,1/ET,24682035
PHYSICS,1/ET,24672097
PHYSICS,1/ENT,24682038
PHYSICS,1/ET,24672098
PHYSICS,1/ENT,24682039
PHYSICS,1/ET,24672099
PHYSICS,1/ENT,24682040
PHYSICS,1/ET,24672100
PHYSICS,1/ENT,24682045
PHYSICS,1/ET,24672101
PHYSICS,1/ENT,24682047
PHYSICS,1/ET,24672102
PHYSICS,1/ENT,24682048
COMMON,1/MT,X
COMMON,1/ENT,24682108
COMMON,1/ENT,24701028
COMMON,1/ENT,24682097
COMMON,1/MT,24701001
COMMON,1/MT,24701030
COMMON,1/ENT,24682133
COMMON,1/MT,24701040
COMMON,1/MT,24701043
COMMON,1/ENT,24682134
COMMON,1/MT,24682132
COMMON,1/MT,24682098
COMMON,1/MT,24701002
COMMON,1/MT,24682099
COMMON,1/MT,24701003
COMMON,1/ENT,24682100
COMMON,1/ENT,24701004
COMMON,1/MT,24682119
COMMON,1/ENT,24701026
COMMON,1/MT,24701018
COMMON,1/ENT,24682118
COMMON,1/MT,24701032
COMMON,1/ENT,24701045
COMMON,1/MT,24682130
COMMON,1/MT,24701024
COMMON,1/ENT,871755
COMMON,1/MT,24682117
COMMON,1/ENT,24682101
COMMON,1/MT,24701005
COMMON,1/ENT,24682102
201,1/MT,24701049
201,1/EMT,870962
201,1/MT,24701050
201,1/EMT,870971
201,1/MT,24701051
201,1/EMT,871016
201,1/MT,24701052
201,1/EMT,871031
Micro,1/MT,24701072
Micro,1/EMT,24861028
Micro,1/MT,24701081
Micro,1/MT,24701083
Micro,1/EMT,24861052
Micro,1/MT,24861032
Micro,1/MT,24701073
Micro,1/EMT,24861014
Micro,1/MT,24701074
Micro,1/EMT,24861019
Micro,1/MT,24701075
Micro,1/EMT,24861020
WWS,1/EMT,24701099
WWS,1/MT,24861059
WWS,1/EMT,24701100
WWS,1/MT,24861060
WWS,1/EMT,24701101
WWS,1/MT,24861061
WWS,1/EMT,24701102
WWS,1/MT,24861062
WWS,1/EMT,24701103
WWS,1/MT,24861063
HEL,1/MT,24702008
HEL,1/EMT,24862007
HEL,1/MT,24702009
HEL,1/EMT,24862008
HEL,1/MT,24702010
HEL,1/EMT,24862013
HEL,1/MT,24702013
HEL,1/EMT,24862011
HEL,1/MT,24702012
HEL,1/EMT,24862010
HEL,1/MT,24702014
HEL,1/EMT,24862027
HEL,1/MT,24702026
HEL,1/MT,24862028
HEL,1/MT,24702016
HEL,1/EMT,24862026
HEL,1/MT,24862021
HEL,1/MT,24702028
HEL,1/EMT,24862029
HEL,1/MT,24702017
HEL,1/EMT,24862009
EMS,1/EMT,24702030
EMS,1/MT,24862037
EMS,1/EMT,24702031
EMS,1/MT,24862040
EMS,1/EMT,24702032
EMS,1/MT,24862041
ENT,1/EMT,24702063
ENT,1/EMT,872268
ENT,1/EMT,24702078
ENT,1/EMT,X
ENT,1/MT,X
ENT,1/MT,24702065
ENT,1/MT,871314
ENT,1/EMT,24702068
ENT,1/MT,24702066
RAS,1/MT,24702088
RAS,1/MT,24702082
RAS,1/PT,24711001
RAS,1/MT,24702083
RAS,1/PT,24711004
RAS,1/PT,24702096
RAS,1/PT,24711015
RAS,1/MT,24702094
RAS,1/PT,24711013
RAS,1/MT,24702093
RAS,1/PT,24711016
RAS,1/MT,24702097
RAS,1/PT,24711017
RAS,1/MT,24702098
RAS,1/PT,24711018
RAS,1/PT,24711022
RAS,1/MT,24702102
RAS,1/PT,24711021
RAS,1/MT,24702101
RAS,1/PT,24702085
EWS,1/MT,24711023
EWS,1/PT,24702104
EWS,1/MT,24711024
EWS,1/PT,24702105
EWS,1/PT,24711028
1006,3/ET,774776
1006,3/CT,775244
1006,3/ET,774817
1006,3/CT,775310
1006,3/ET,774845
1006,3/CT,775316
1006,3/ET,775024
1006,3/CT,775391
1006,3/ET,775027
1006,3/ET,775453
1006,3/CT,775075
1006,3/CT,X
1007,3/CT,870741
1007,3/ET,870888
1007,3/CT,870743
1007,3/ET,870889
1007,3/CT,870744
1007,3/ET,870890
1007,3/ET,870897
1007,3/CT,870750
1007,3/ET,870894
1007,3/CT,870749
1007,3/ET,870893
1007,3/CT,870748
1007,3/CT,870752
1007,3/ET,870898
1007,3/CT,870754
1007,3/ET,870899
1007,3/CT,870757
1007,3/ET,870903
1007,3/ET,870908
1007,3/CT,870763
1007,3/ET,870907
1007,3/CT,870762
1007,3/CT,870764
1007,3/ET,870909
1007,3/CT,870766
1007,3/ET,870911
1007,3/ET,870920
1007,3/CT,870775
